Source,Headline
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")","Mexican Mafia smuggled heroin with Pringles, secret code and L.A. jail deputy, records say"
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")","Love it or hate it, daylight saving time is upon us once again"
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")","His wife dead, an ailing Gene Hackman was stranded alone in his house for days, authorities believe"
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")","Technology wasn’t responsible for west Altadena alert failures, company says"
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",L.A. Affairs: I’m a queer man living with HIV. I found love again — with a woman
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",I’m a martini purist. Here’s what is — and isn’t — in the perfect classic cocktail
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",Former LASD jailer pleads no contest to sex crimes against inmate
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",Air Force intercepts aircraft flying in a restricted zone near Mar-a-Lago
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")","Trump downplays business concerns about uncertainty from his tariffs, prospect of higher prices"
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")","Russians seek escape from sanctions, draft on Thailand’s Phuket Island. Not everyone is happy"
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",Entertainment & Arts
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")","Commentary: After Maine’s governor publicly challenged him, Trump threw the state’s Social Security into chaos"
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",Hollywood’s DEI commitments were slipping even before Trump. Now they’re vanishing fast
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")","Mayor Karen Bass is deleting her text messages, raising eyebrows and questions"
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",Waiting for wildflowers? Here’s the forecast for Southern California’s iconic blooms
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",You don’t need land to grow plants. Show us your small-space container garden
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",Visual Storytelling
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")","SXSW 2025: Ivan Cornejo, Gale and other Latino artists we can’t wait to see"
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")","In praise of Gabby Windey, ‘Traitors’ winner and Latina queen"
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")","The artist Charles Gaines, his beauty and poignance"
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",14 unique martinis redefining the classic cocktail in L.A.
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",It’s raining men at the Getty’s survey of Impressionist painter Gustave Caillebotte
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",L.A. Affairs
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")","L.A. Affairs: My ‘Eat, Pray, Love’ life failed. Would returning to L.A. work out this time?"
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",L.A. Affairs: I confessed I wanted babies soon after our first date. Would he stick around?
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",L.A. Affairs: My ex took my confidence away. Male strippers brought it back
"=HYPERLINK(""https://www.latimes.com/"", ""https://www.latimes.com/"")",L.A. Affairs: We had a good connection. Why did he break up with me before Valentine’s Day?
"=HYPERLINK(""https://github.com/"", ""https://github.com/"")","Work 55% faster.Jump to footnote1Increase productivity with AI-powered coding assistance, including code completion, chat, and more."
